ratio,seen_ratio,game,unseen_games,seen_acc,unseen_acc,seen_reg,unseen_reg,seen_avg_diff,unseen_avg_diff,seen_norm_diff,unseen_norm_diff,doom_enum_0,doom_enum_1,doom_enum_2,doom_enum_3,doom_enum_4,dungeon_enum_0,dungeon_enum_1,dungeon_enum_2,dungeon_enum_3,dungeon_enum_4,pokemon_enum_0,pokemon_enum_1,pokemon_enum_2,pokemon_enum_3,pokemon_enum_4,sokoban_enum_0,sokoban_enum_1,sokoban_enum_2,sokoban_enum_3,sokoban_enum_4,zelda_enum_0,zelda_enum_1,zelda_enum_2,zelda_enum_3,zelda_enum_4,run_id,run_name,run_state,cfg_unseen_games,cfg_seen_ratio,cfg_seed
0.01,0.0,all,pkzd,0.8773333333333333,0.991,0.2021782099405924,0.1567177580595016,0.2024446968464331,0.1511648978565504,0.9994781708523968,2.183692381338012,0.1051865266980948,0.0663886024279797,0.2697424403596215,0.1896523684805747,0.2194990181842366,0.2288394993662241,0.1855377155571735,0.6626381344184643,0.3235155471028889,0.2545763253993182,0.1014880334856498,0.0720735475168389,0.3213812733689944,0.1294135353710575,0.2692638181223727,0.0347790963746405,0.3500703392016828,0.1253620358636078,0.0097830544735881,0.0110997487884014,0.0600913651649234,0.0663811180152391,0.1790385775487212,0.1768200287604751,0.1356976812112316,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.03,0.0,all,pkzd,0.9703333333333334,0.9975,0.2045162787437439,0.1382317179441452,0.2059929154234943,0.1306697045882532,1.0169958784951696,1.887623664138193,0.1037686660333916,0.0618965584546961,0.2416163552098157,0.2151604828072115,0.1892854907222696,0.2128438893983613,0.1636531138655,0.5367653134392529,0.4239885307212203,0.2593554756234562,0.1051519574662346,0.0520140299689298,0.3087672500836628,0.1008308256665865,0.1917980346865583,0.0436661692084492,0.2680923011734258,0.3035394028552527,0.0154759137359048,0.0507860681042075,0.0599026157728676,0.0612732485720985,0.1467429992615007,0.1605075933132788,0.1197084910908148,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.05,0.0,all,pkzd,0.9773333333333334,0.9995,0.1692037125825882,0.1386715961098671,0.1691739631008133,0.1345810563967671,0.8352191281360841,1.9441261277795183,0.0949022816149173,0.0714810309892005,0.2458805002635572,0.1977143577791386,0.2018919429162869,0.2186984460597014,0.1220678214369149,0.5199395531833899,0.228294515470792,0.2189461582749293,0.1105068090988035,0.0590152903801977,0.2960356022619332,0.0956327174658951,0.2271414439996132,0.0682678904887792,0.1518332462514465,0.1588310059702512,0.0145481368704211,0.0243125589424744,0.062784727843641,0.0459995450157868,0.1646462222926464,0.1532229709950271,0.1308252346141273,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.1,0.0,all,pkzd,0.9726666666666668,1.0,0.2051663966973622,0.1300472125709056,0.2098065179639647,0.1190651197941836,1.035823798173395,1.7199865753515604,0.1018282760762506,0.0738148839866861,0.3014669663710065,0.1205463131168383,0.2104336933113282,0.2246410723645888,0.26907990997648,0.4194476073789523,0.2552044214169673,0.278305684504587,0.1217845135660313,0.0645762655021107,0.268029164620977,0.056882417934378,0.2100707150976713,0.0507736417087348,0.5968014383735369,0.2445739737702804,2.178253941776477e-05,0.0001581045638158,0.0525766757940783,0.0350710844130892,0.1367859808070694,0.122968913279628,0.121905466926803,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.15,0.0,all,pkzd,0.9973333333333332,1.0,0.2203215069770813,0.1205201598405838,0.224828462386886,0.1078413515022949,1.1099877835400105,1.557850671736167,0.0957827993703109,0.0598805358118199,0.361451012459186,0.1768569988386481,0.2069411928778061,0.1966608013234921,0.2319369959126552,0.5314905984026221,0.3588227569618341,0.2403913291230324,0.1122956871986389,0.0609012291593066,0.2610731284447765,0.0460801193049858,0.1945011025335868,0.0500401374456044,0.5703656627005668,0.2915808886868282,7.494852880405407e-05,0.0001502773600805,0.0420722489796795,0.0392349635299883,0.1160349422408377,0.0912072303824001,0.1150128632487494,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.2,0.0,all,pkzd,0.9656666666666668,1.0,0.1948459188143412,0.1068188409209251,0.1973920948588234,0.0973431568284567,0.9745332576425828,1.406196233092491,0.0994540099054575,0.0947893615415755,0.3010117357239346,0.1798584772859778,0.2047928105346993,0.2554390096101002,0.1616457490791828,0.619268233728845,0.2719414699842525,0.2019299785199263,0.0999543099705852,0.0597534356480937,0.2470592748735793,0.0409148700619104,0.1965521862274952,0.0416121828394967,0.3869430994867679,0.1418737697514515,2.371819494415138e-06,0.0003191630711899,0.0351385421399931,0.0329668923820319,0.0934775703057062,0.0678136979715774,0.099800788703595,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.3,0.0,all,pkzd,0.9756666666666668,1.0,0.2068467485904693,0.1009653348028659,0.2124434526390531,0.0877285298345099,1.0488424580186262,1.2673056042904771,0.0924037314813446,0.0480350162437621,0.3003750056253122,0.1113679192373607,0.1919776962190774,0.2031113141359974,0.2156671764228144,0.4908484304207377,0.3687107037281649,0.2712205766692604,0.0874077628056208,0.054475970524179,0.2312498809445868,0.0384022767871179,0.1836220742432416,0.0291397801122149,0.6287779902393494,0.2350152788810359,9.095379943910957e-10,1.1692598263834952e-06,0.0381161880145952,0.0203062554208659,0.0777045395773123,0.0586787352096755,0.0873216148179041,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
1.0,0.0,all,pkzd,0.9813333333333332,1.0,0.1967087321281433,0.0852950954139232,0.2025503935456438,0.0692244471558431,1.0,1.0,0.1039903057670151,0.0524021463191255,0.3274779126500757,0.1109491368341842,0.1865699707656293,0.2089730186100623,0.1807545311932493,0.5818201493322854,0.2224155876172175,0.1582259443527062,0.0632524240521056,0.0484302557457638,0.2162402486659565,0.0290260379198176,0.1726224510632643,0.026847278991261,0.6300453308539175,0.2440312459920216,0.0036323547962412,0.0001209891096654,0.0163225735564833,0.0111605326945496,0.0543189403765341,0.0324007206443414,0.0484702868396142,psyl1wl1,clipdec-unseen-game-all_unseen-pkzd_sr-0.0_md-ts_exp-def_0,finished,pkzd,0.0,0
0.0,0.05,all,pkdm,1.0,0.9985,0.0846723996400833,0.1943290635943412,0.0782027749044022,0.200935904731278,1.0305906375025446,2.091123747647374,0.1603497053600019,0.1021189385272087,0.1389238087332625,0.2217983642326853,0.2466948190250912,0.1438430188158851,0.0855217637686893,0.001648725032389,0.1342078587311172,0.147809676077,0.1878299360992896,0.1217114942221991,0.3087072287809052,0.2832480801927672,0.2379766721393691,0.0305522739887237,0.0330576703476546,0.0521860110383589,0.0002376862111954,0.0004842398670007,0.0625807687061504,0.0551868877912822,0.1263857342887158,0.1461010087349764,0.1532383001668944,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.01,0.05,all,pkdm,1.0,0.999,0.0816678784688313,0.1640836335420608,0.077153950156334,0.167001090904204,1.0167687626769846,1.7379668782432325,0.1166848780380355,0.0467854731894554,0.157554700568023,0.2385967558406511,0.2265021355570973,0.1517476575884652,0.08001761740358,0.0043822964123825,0.1524751858767306,0.1284158455316351,0.1001782332041963,0.0670534382432194,0.3054414734209853,0.1593101977392935,0.2519036232410828,0.0290023700611011,0.0337476015989504,0.0676427511769591,0.0003631648872431,0.0006426642012957,0.0571816894903923,0.0568219464076192,0.1347761159287948,0.1323772414230075,0.1277151043568529,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
